,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2002,161,5330,641,1300,263,20,142,610,2029,537,1109,86,.244,.319,.381,.700,72
2003,162,5581,753,1492,275,45,163,711,2346,529,1049,86,.267,.338,.420,.758,75
2004,161,5483,680,1428,267,39,142,648,2199,415,1066,63,.260,.321,.401,.722,72
2005,162,5573,680,1445,292,38,139,656,2230,471,1092,73,.259,.322,.400,.723,67
2006,162,5558,691,1462,286,17,141,656,2205,459,1200,68,.263,.327,.397,.723,67
2007,162,5569,724,1463,322,31,148,694,2291,463,1135,68,.263,.325,.411,.736,68
2008,162,5628,735,1454,314,21,153,705,2269,474,1039,57,.258,.320,.403,.723,67
2009,161,5417,636,1364,289,34,125,612,2096,499,1142,90,.252,.318,.387,.705,62
2010,162,5386,587,1303,276,27,126,570,2011,463,1207,87,.242,.304,.373,.678,57
2011,162,5421,610,1325,277,35,107,580,1993,489,1308,108,.244,.309,.368,.676,72
2012,162,5412,651,1313,241,37,170,620,2138,444,1354,73,.243,.304,.395,.699,79
2013,162,5486,634,1346,273,35,161,603,2172,469,1330,94,.245,.313,.396,.709,94
2014,162,5536,682,1436,275,30,156,659,2239,520,1244,104,.259,.330,.404,.734,88
2015,162,5631,697,1462,292,27,140,661,2228,461,1322,98,.260,.323,.396,.719,98
2016,162,5542,729,1426,277,32,153,696,2226,561,1334,110,.257,.332,.402,.734,78
2017,162,5458,668,1331,249,36,151,635,2105,519,1213,67,.244,.318,.386,.704,75
2018,161,5447,692,1381,290,38,157,665,2218,474,1229,70,.254,.317,.407,.725,82
2019,162,5657,758,1497,315,38,163,722,2377,425,1213,64,.265,.323,.420,.743,69
